,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pPotency
0,CHEMBL258805,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,inactive,241.25000000000003,1.9109999999999994,2.0,3.0,26121.6,4.583000225180674
1,CHEMBL15928,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,active,497.5990000000004,5.033140000000005,1.0,7.0,5847.9,5.233000062489921
2,CHEMBL273648,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC,active,414.41000000000025,2.4092000000000002,1.0,8.0,14.7,7.8326826652518236
3,CHEMBL2373592,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@@]3(O)C(=O)C(C)=C[C@H]32)[C@H]2C(C)(C)[C@@]21OC(C)=O,inactive,616.8360000000001,5.752900000000006,3.0,8.0,23280.9,4.6330002346115595
4,CHEMBL429023,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,active,394.4230000000001,3.7033000000000023,0.0,6.0,46.5,7.332547047110046
5,CHEMBL305660,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,active,469.6690000000001,7.217600000000008,0.0,3.0,4645.1,5.333004932051241
6,CHEMBL142635,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,inactive,392.4990000000001,3.410300000000002,1.0,5.0,23280.9,4.6330002346115595
7,CHEMBL1512503,CC(=O)/C=C1\C(=O)N(C)c2ccccc21,active,201.22500000000002,1.6354,0.0,2.0,14689.2,4.833001856016845
8,CHEMBL17331,O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,active,360.348,4.853000000000003,1.0,4.0,8.3,8.080921907623926
9,CHEMBL275035,CNCCc1c[nH]c(CCC(c2ccccc2)c2ccccc2)n1,inactive,319.452,3.936300000000003,2.0,2.0,23280.9,4.6330002346115595
10,CHEMBL1626,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,active,343.898,5.104400000000005,0.0,2.0,14689.2,4.833001856016845
11,CHEMBL318111,C=CCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,active,293.36600000000004,3.406100000000003,2.0,3.0,7362.1,5.1329982877922
12,CHEMBL126075,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,inactive,604.6970000000003,3.539900000000002,0.0,12.0,23280.9,4.6330002346115595
13,CHEMBL399491,S=C(S)N1CCCC1,active,147.268,1.2969,1.0,1.0,2930.9,5.532998999094513
14,CHEMBL58033,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@@H]1N1CCCC1,active,369.3360000000003,4.4013000000000035,0.0,2.0,14689.2,4.833001856016845
15,CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,active,406.482,3.738000000000002,3.0,5.0,14689.2,4.833001856016845
16,CHEMBL1113,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,inactive,313.788,3.4292000000000025,1.0,4.0,23280.9,4.6330002346115595
17,CHEMBL707,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,inactive,451.4830000000003,1.7177999999999993,1.0,9.0,26121.6,4.583000225180674
18,CHEMBL379787,O=C(Nc1nc2ccccc2n1CCN1CCOCC1)c1cccc([N+](=O)[O-])c1,inactive,395.41900000000015,2.529000000000001,1.0,7.0,23280.9,4.6330002346115595
19,CHEMBL179288,CC(C)ON([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,active,406.5040000000001,3.2143000000000015,2.0,5.0,5847.9,5.233000062489921
20,CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,inactive,211.21699999999998,0.4423000000000001,4.0,4.0,23280.9,4.6330002346115595
21,CHEMBL250711,CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1ccc(O)c(O)c1,active,417.63400000000007,6.7940000000000085,3.0,3.0,5211.9,5.283003925627301
22,CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,inactive,341.4510000000001,3.2414000000000023,2.0,4.0,16481.6,4.783000630172785
23,CHEMBL429095,O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21,active,310.396,1.7281999999999997,2.0,6.0,3689.8,5.432997173475185
24,CHEMBL45816,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,active,495.6390000000002,5.270900000000005,1.0,5.0,10399.2,4.983000069254019
25,CHEMBL596380,O=[N+]([O-])/C=C/c1ccc2c(c1)OCO2,active,193.15799999999996,1.6626999999999996,0.0,4.0,2074.9,5.683002829310788
26,CHEMBL291364,Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)C(C2)N(CC2CC2)CCC314,active,414.50500000000034,3.5726000000000013,3.0,4.0,14689.2,4.833001856016845
27,CHEMBL7568,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,active,399.9660000000002,5.972400000000006,1.0,4.0,14689.2,4.833001856016845
28,CHEMBL1628215,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](NCCCCCCN3C(=O)CCC3=O)CC[C@@H]12,active,466.66600000000045,5.218900000000005,1.0,4.0,3689.8,5.432997173475185
29,CHEMBL288096,CCCN1CCc2cc(O)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3,inactive,311.38100000000003,3.3357000000000037,3.0,4.0,23280.9,4.6330002346115595
30,CHEMBL304818,CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,inactive,326.436,3.520900000000002,1.0,3.0,26121.6,4.583000225180674
31,CHEMBL1473475,Oc1ccc2c3c1O[C@H]1c4oc5ccccc5c4C[C@@]4(O)C(C2)N(CC2CC2)CCC314,inactive,415.4890000000003,3.837500000000003,2.0,5.0,23280.9,4.6330002346115595
32,CHEMBL96926,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@@H](OC(=O)CCC)C[C@](C)(OC(C)=O)[C@H]2[C@@H]1OC(=O)CCCCCCC,active,650.762,3.927900000000002,2.0,12.0,3.7,8.431798275933005
33,CHEMBL95758,N#CC(=C(\N)Sc1ccccc1N)/C(C#N)=C(/N)Sc1ccccc1N,active,380.5020000000001,3.1231600000000004,4.0,8.0,13091.8,4.883000637916419
34,CHEMBL539947,CC(C)(C)c1cc(/C=C(\C#N)C(N)=S)cc(C(C)(C)C)c1O,inactive,316.47,4.180280000000004,2.0,3.0,26121.6,4.583000225180674
35,CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,inactive,318.237,1.6935999999999998,6.0,8.0,16481.6,4.783000630172785
36,CHEMBL568150,O=C1NC(=O)/C(=C/c2ccc3nccnc3c2)S1,active,257.274,1.9537,1.0,5.0,14689.2,4.833001856016845
37,CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,inactive,329.3710000000001,3.326500000000002,1.0,4.0,26121.6,4.583000225180674
38,CHEMBL1169388,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,inactive,309.33099999999996,4.435000000000003,1.0,2.0,26121.6,4.583000225180674
39,CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,inactive,309.33099999999996,4.435000000000003,1.0,2.0,23280.9,4.6330002346115595
40,CHEMBL1527682,Ic1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,active,508.4470000000003,5.675700000000005,1.0,2.0,6561.4,5.183003485715112
41,CHEMBL24983,O=c1oc(Cl)c(Cl)c2ccccc12,inactive,215.03500000000003,3.099800000000001,0.0,2.0,18492.7,4.732999675671793
42,CHEMBL1423,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,inactive,461.5560000000001,5.8570000000000055,1.0,3.0,16481.6,4.783000630172785
43,CHEMBL10316,c1ccc2c(c1)OCC(C1=NCCN1)O2,active,204.22899999999996,0.8280999999999994,1.0,4.0,6561.4,5.183003485715112
44,CHEMBL1255659,O=Nc1ccc2oc(=O)ccc2c1,active,175.143,2.1909,0.0,4.0,5211.9,5.283003925627301
45,CHEMBL1440857,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@@]5(O)C[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,active,588.5620000000004,1.687799999999999,3.0,13.0,232.8,6.633017024022149
46,CHEMBL8514,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,active,361.52900000000017,4.844800000000005,1.0,2.0,13091.8,4.883000637916419
47,CHEMBL8197,CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,active,284.3590000000001,2.9499000000000013,1.0,3.0,1648.2,5.782990090195795
48,CHEMBL188,Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3,inactive,426.51600000000036,4.599620000000004,0.0,5.0,18492.7,4.732999675671793
49,CHEMBL809,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,inactive,306.236,5.179600000000004,1.0,1.0,26121.6,4.583000225180674
50,CHEMBL54440,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,inactive,390.52000000000015,3.949500000000003,1.0,5.0,16481.6,4.783000630172785
51,CHEMBL1489,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,active,244.207,-3.1679999999999997,4.0,9.0,736.2,6.133004186889352
52,CHEMBL1315261,CCc1ccccc1OC[C@@H](O)CN[C@H]1CCc2ccccc2C1,inactive,325.452,3.1358000000000015,2.0,3.0,26121.6,4.583000225180674
53,CHEMBL1193571,CN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1,inactive,269.34400000000005,2.717600000000001,2.0,3.0,23280.9,4.6330002346115595
54,CHEMBL34095,C=CCN1CCc2c(cc(O)c(O)c2Br)[C@@H](c2ccccc2)C1,inactive,374.2780000000001,4.036300000000004,2.0,3.0,23280.9,4.6330002346115595
55,CHEMBL365739,c1ccc2c(c1)[I+]c1ccccc1-2,active,279.1,-0.20460000000000012,0.0,0.0,58.5,7.232844133917819
56,CHEMBL225284,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1,active,451.6800000000002,5.284700000000005,1.0,4.0,14689.2,4.833001856016845
57,CHEMBL669,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,inactive,275.39500000000004,4.553800000000004,0.0,1.0,26121.6,4.583000225180674
58,CHEMBL319244,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,active,284.311,2.8969000000000005,2.0,4.0,656.1,6.1830299622427
59,CHEMBL428647,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,active,853.9180000000001,3.735700000000003,4.0,14.0,130.9,6.8830603534492445
60,CHEMBL17157,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,inactive,471.6850000000001,6.445800000000008,2.0,3.0,18492.7,4.732999675671793
61,CHEMBL1357488,CCCC1(C)C(C#N)(C#N)C1(C#N)C#N,active,198.22899999999998,1.87352,0.0,4.0,2328.1,5.632998369161559
